season,team,seed,adj_offense,adj_defense,tempo,sos,net_rating,q1_wins,q2_wins,q3_losses,q4_losses,recent_form,injuries_impact,fg3_pct,tov_pct,orb_pct,drb_pct,ft_rate,ast_rate,stl_rate,blk_rate,three_rate,opp_three_rate,opp_fg3_pct,opp_ft_rate
2021,Colorado,1,116.830848,96.606692,66.108333,18.158908,27.469951,18,4,0,0,0.676566,0,0.366612,0.167906,0.281905,0.718095,0.299296,0.51292,0.080171,0.04185,0.358568,0.354659,0.349353,0.330745
2021,Colorado St,3,111.433216,108.741445,69.301042,10.716719,17.779506,5,9,0,0,0.596624,0,0.360281,0.196606,0.215896,0.784104,0.345859,0.565854,0.079364,0.036676,0.43635,0.381485,0.339242,0.321956
2021,Columbia Int'l,15,74.685317,127.62961,69.116667,9.452623,-28.513433,0,0,1,0,0.001068,0,0.27027,0.231493,0.219858,0.780142,0.16,0.517857,0.072341,0.019291,0.455385,0.425976,0.358719,0.293873
2021,Columbus State,8,119.919142,121.251033,70.075,4.213196,4.414215,0,0,0,0,0.132139,0,0.333333,0.128434,0.432432,0.567568,0.246377,0.515152,0.042811,0.01427,0.304348,0.395872,0.374408,0.291745
2021,Concordia CA,12,97.767551,118.55898,73.5,15.001555,-4.800286,0,0,0,0,0.007413,0,0.2,0.231293,0.413793,0.586207,0.338983,0.44,0.122449,0.013605,0.338983,0.365614,0.322457,0.325614
2021,Coppin St,11,93.445096,98.802877,79.040909,3.765396,-1.824308,1,1,3,0,0.588652,0,0.303459,0.200127,0.20603,0.79397,0.438228,0.540643,0.108114,0.04083,0.494172,0.378411,0.340042,0.334201
2021,Covenant,14,88.096377,117.309028,74,0.738684,-18.060904,0,0,2,0,0.009749,0,0.34375,0.216216,0.3,0.7,0.347826,0.536585,0.081081,0.027027,0.556522,0.398233,0.317924,0.264752
2021,Creighton,1,115.677727,101.763393,70.133929,16.967735,24.400199,17,3,0,0,0.579281,0,0.366577,0.15888,0.234421,0.765579,0.268657,0.557089,0.100827,0.049905,0.442985,0.36324,0.336149,0.304332
2021,Crwlys Rdg,16,71.332273,124.892965,80.1375,0.584353,-39.465346,0,0,4,0,0.002395,0,0.215054,0.215255,0.310606,0.689394,0.218868,0.357143,0.074871,0.028077,0.350943,0.354631,0.339878,0.324544
2021,CSU Northridge,9,103.679898,106.282984,71.332955,7.478112,1.448155,1,5,4,0,0.412135,0,0.337972,0.166314,0.284932,0.715068,0.307634,0.523214,0.08921,0.029949,0.380197,0.370583,0.339752,0.316519
2021,Culver Stock,16,53.412043,154.149113,67.45,4.347869,-62.452588,0,0,0,0,0.000003,0,0.157895,0.355819,0.176471,0.823529,0.611111,0.555556,0.014826,0.014826,0.527778,0.315015,0.366093,0.293344
2021,Dall Christian,16,52.805368,124.430173,88.1125,4.955127,-58.012404,0,0,2,0,0.000113,0,0.24026,0.393436,0.235294,0.764706,0.221212,0.56701,0.071878,0.030264,0.466667,0.360624,0.354321,0.330674
2021,Dalton St,13,90.740072,107.925606,67.45,-3.371053,-10.170559,0,0,1,0,0.055604,0,0.384615,0.207561,0.291667,0.708333,0.44,0.368421,0.118606,0.029652,0.26,0.387049,0.311787,0.295806
2021,Davidson,3,116.719229,101.394892,63.946429,10.509083,17.418635,4,5,0,0,0.608157,0,0.366667,0.168296,0.258856,0.741144,0.262478,0.578182,0.080424,0.040212,0.490534,0.382328,0.331426,0.312881
2021,Dayton,4,107.975206,99.68137,67.858696,13.038241,14.863732,8,3,1,0,0.42611,0,0.373737,0.21464,0.207572,0.792428,0.344538,0.557319,0.065994,0.028832,0.415966,0.357951,0.325377,0.315078
2021,Delaware,8,101.33525,97.569546,67.871667,5.239256,4.453817,0,6,1,0,0.51375,0,0.333333,0.211183,0.249049,0.750951,0.374527,0.541787,0.067775,0.053041,0.404792,0.399552,0.338742,0.304893
2021,Delaware St,13,92.017318,110.629907,77.240789,1.055804,-13.721957,0,1,9,0,0.292438,0,0.308943,0.218728,0.303835,0.696165,0.301775,0.461538,0.083812,0.047016,0.415892,0.404038,0.33437,0.351657
2021,Denver,12,97.9398,108.385849,72.192857,3.546121,-6.245369,0,0,7,0,0.157086,0,0.349876,0.205138,0.245283,0.754717,0.33959,0.483622,0.079153,0.035619,0.343857,0.36474,0.349649,0.304144
2021,DePaul,5,98.287486,94.89538,71.298684,17.184091,10.521346,3,1,0,0,0.226293,0,0.314985,0.221455,0.318498,0.681502,0.236568,0.451143,0.095964,0.054626,0.283362,0.367911,0.331772,0.309464
2021,Detroit Mercy,7,113.515943,107.172792,68.175,3.727777,5.982772,0,1,4,0,0.773381,0,0.391304,0.168684,0.275382,0.724618,0.252713,0.526756,0.10001,0.036004,0.445736,0.371994,0.341868,0.29987
2021,Dickinson St,14,79.213728,114.18957,66.7,7.86274,-15.939922,0,0,0,0,0.003845,0,0.294118,0.194903,0.222222,0.777778,0.230769,0.368421,0.104948,0,0.326923,0.280713,0.362353,0.365918
2021,Doane,15,80.991763,125.96631,84.075,13.912153,-28.887757,0,0,0,0,0.000164,0,0.282609,0.154624,0.264706,0.735294,0.236111,0.714286,0.071365,0.023788,0.638889,0.426434,0.333333,0.311097
2021,Drake,3,117.193737,99.414235,67.562069,7.462853,18.501356,5,15,0,0,0.648943,0,0.369565,0.152606,0.287632,0.712368,0.243597,0.459677,0.10565,0.043893,0.314172,0.387248,0.338944,0.288921
2021,Drexel,5,110.249004,105.265491,66.084211,5.981544,9.572822,0,6,1,0,0.573964,0,0.371968,0.195126,0.260465,0.739535,0.285164,0.581818,0.070882,0.035839,0.357418,0.397502,0.334989,0.324931
2021,Duke,2,114.358392,96.265137,69.93125,16.229216,20.404787,7,5,0,0,0.608479,0,0.352014,0.182918,0.319624,0.680376,0.233942,0.563584,0.117377,0.064945,0.386072,0.37599,0.339198,0.310816
2021,Duquesne,5,101.816506,94.15921,68.404167,11.287066,11.298804,5,1,1,0,0.58045,0,0.298701,0.19492,0.313456,0.686544,0.316346,0.550228,0.098272,0.064973,0.370192,0.375302,0.331052,0.308749
2021,E Illinois,11,98.789607,104.488825,71.002778,2.961485,-2.201135,0,3,5,2,0.404135,0,0.324042,0.199784,0.303062,0.696938,0.256932,0.509194,0.100674,0.045903,0.353666,0.38675,0.336382,0.303076
2021,E Kentucky,6,105.469268,95.191591,77.485345,-0.257661,7.956587,1,5,1,0,0.679989,0,0.358612,0.165549,0.297193,0.702807,0.255396,0.529277,0.133062,0.045837,0.399794,0.383175,0.331357,0.300489
2021,E Michigan,12,99.338873,105.435828,71.325,1.860947,-3.41648,1,0,2,0,0.201925,0,0.311436,0.172138,0.284512,0.715488,0.302693,0.441964,0.123846,0.032714,0.381616,0.390035,0.322087,0.268805
2021,E TX Bapt,13,79.929223,94.10298,72.975,-2.629667,-8.43017,0,0,1,0,0.063849,0,0.296296,0.16444,0.289474,0.710526,0.33871,0.85,0.095923,0.08222,0.435484,0.287129,0.331565,0.421173
2021,E Washington,4,111.189306,100.000416,71.746739,6.894184,15.033445,0,10,1,0,0.787355,0,0.354015,0.159983,0.217178,0.782822,0.302121,0.543887,0.068478,0.039996,0.400878,0.355116,0.347517,0.339159
2021,East Carolina,6,100.198922,94.189627,69.313158,10.971174,8.466112,1,4,0,0,0.150106,0,0.303621,0.182239,0.289433,0.710567,0.330896,0.674833,0.088842,0.0448,0.328154,0.380683,0.333352,0.339835
2021,Edward Waters,15,87.323562,121.254038,81.025,-0.867754,-24.66726,0,0,1,0,0.003845,0,0.157895,0.123419,0.25,0.75,0.275362,0.538462,0.148102,0.061709,0.275362,0.48752,0.3664,0.25351
2021,Elon,7,100.447824,96.32803,66.439474,4.301074,5.712654,0,4,0,0,0.677145,0,0.325581,0.172694,0.254601,0.745399,0.245387,0.458797,0.085555,0.030895,0.436347,0.375454,0.331798,0.333404
2021,Emmanuel (MA),13,80.211343,102.637701,70.55,4.41066,-10.38892,0,0,0,0,0.434193,0,0.280702,0.22679,0.242857,0.757143,0.330275,0.735294,0.113395,0.063785,0.522936,0.42964,0.370757,0.303575
2021,Emporia St,8,88.946477,100.144432,68.75,17.249674,4.449636,0,0,0,0,0.022739,0,0.192308,0.247273,0.305556,0.694444,0.172414,0.545455,0.043636,0.058182,0.448276,0.406027,0.341797,0.36479
2021,ETSU,5,105.03537,94.26795,68.037,8.495019,11.263622,2,6,1,0,0.348586,0,0.349565,0.199303,0.284281,0.715719,0.298729,0.475806,0.108176,0.037039,0.406073,0.416755,0.343412,0.280722
2021,Evansville,8,105.776317,106.717752,63.23,9.590228,4.622268,1,6,1,1,0.226097,0,0.376766,0.173335,0.222388,0.777612,0.254042,0.509632,0.077179,0.035426,0.490377,0.370648,0.338585,0.291209
2021,Fairfield,11,95.248297,100.065963,65.762963,3.737774,-1.266822,0,4,8,0,0.57479,0,0.31528,0.196553,0.279241,0.720759,0.340659,0.467241,0.070399,0.034918,0.355082,0.373732,0.322712,0.334129
