season,team_a,team_b,score_a,score_b,neutral_site,round_name,game_date,home_team,home_edge_a,rest_days_a,rest_days_b,market_prob_a,market_spread_a,moneyline_a,moneyline_b
2024,Stetson,Trinity Co Jax,109,54,0,Regular Season,2023-11-07,Stetson,1,,,,,,
2024,Arizona,Morgan St,122,59,0,Regular Season,2023-11-07,Arizona,1,,,,,,
2024,Penn State,Delaware St,79,45,0,Regular Season,2023-11-07,Penn State,1,,,,,,
2024,N'Western St,Dall Christian,101,54,0,Regular Season,2023-11-07,N'Western St,1,,,,,,
2024,Cal Poly,La Verne,80,62,0,Regular Season,2023-11-07,Cal Poly,1,,,,,,
2024,UNC Wilmington,Mount Olive,105,66,0,Regular Season,2023-11-07,UNC Wilmington,1,,,,,,
2024,UTEP,McMurry,120,71,0,Regular Season,2023-11-07,UTEP,1,,,,,,
2024,ETSU,King (TN),73,56,0,Regular Season,2023-11-07,ETSU,1,,,,,,
2024,UT Martin,Champ Chrstn,104,76,0,Regular Season,2023-11-07,UT Martin,1,,,,,,
2024,Coastal,Piedmont,88,86,0,Regular Season,2023-11-07,Coastal,1,,,,,,
2024,South Alabama,Mobile,74,83,0,Regular Season,2023-11-07,South Alabama,1,,,,,,
2024,Grambling,UNT Dallas,82,67,0,Regular Season,2023-11-07,Grambling,1,,,,,,
2024,San Diego,Sonoma St,68,64,0,Regular Season,2023-11-07,San Diego,1,,,,,,
2024,UT Rio Grande,SW Adventist,110,59,0,Regular Season,2023-11-07,UT Rio Grande,1,,,,,,
2024,Gardner-Webb,Erskine,98,58,0,Regular Season,2023-11-07,Gardner-Webb,1,,,,,,
2024,UC Davis,Jessup,86,51,0,Regular Season,2023-11-07,UC Davis,1,,,,,,
2024,SC State,Voorhees,65,57,0,Regular Season,2023-11-07,SC State,1,,,,,,
2024,Georgetown,Le Moyne,94,57,0,Regular Season,2023-11-08,Georgetown,1,,,,,,
2024,Maine,ME-Presque Isle,111,59,0,Regular Season,2023-11-08,Maine,1,0,,,,,
2024,Creighton,Florida A&M,105,54,0,Regular Season,2023-11-08,Creighton,1,,,,,,
2024,Maryland,Mount St Marys,68,53,0,Regular Season,2023-11-08,Maryland,1,,,,,,
2024,Michigan,UNC Asheville,99,74,0,Regular Season,2023-11-08,Michigan,1,,,,,,
2024,UMass,UAlbany,92,71,0,Regular Season,2023-11-08,UMass,1,,,,,,
2024,Baylor,Auburn,88,82,1,Regular Season,2023-11-08,,0,,,,,,
2024,W Carolina,Dalton St,106,65,0,Regular Season,2023-11-08,W Carolina,1,,,,,,
2024,St John's,Stony Brook,90,74,0,Regular Season,2023-11-08,St John's,1,,,,,,
2024,DePaul,Purdue FW,74,82,0,Regular Season,2023-11-08,DePaul,1,,,,,,
2024,Ball State,Goshen,101,40,0,Regular Season,2023-11-08,Ball State,1,,,,,,
2024,Nevada,Sacramento St,77,63,0,Regular Season,2023-11-08,Nevada,1,,,,,,
2024,LMU,Westcliff,109,68,0,Regular Season,2023-11-08,LMU,1,,,,,,
2024,Rice,St Thomas (TX),101,57,0,Regular Season,2023-11-08,Rice,1,,,,,,
2024,Kennesaw St,Oakwood,93,46,0,Regular Season,2023-11-08,Kennesaw St,1,,,,,,
2024,Vanderbilt,Presbyterian,62,68,0,Regular Season,2023-11-08,Vanderbilt,1,,,,,,
2024,Iowa,North Dakota,110,68,0,Regular Season,2023-11-08,Iowa,1,,,,,,
2024,Winthrop,Brevard,98,44,0,Regular Season,2023-11-08,Winthrop,1,0,0,,,,
2024,Wyoming,Northern NM,104,56,0,Regular Season,2023-11-08,Wyoming,1,,,,,,
